2022-06-15 11:46:15 [com.xxl.job.core.thread.JobThread#run]-[133]-[xxl-job, JobThread-3-1655264775822] <br>----------- xxl-job job execute start -----------<br>----------- Param:
2022-06-15 11:46:15 [com.learn.tylorwu.xxljob.jobHandler.TestXxJob#demoJobHandler]-[29]-[xxl-job, JobThread-3-1655264775822] ----->>HeartJob, param:{}
2022-06-15 11:46:15 [com.xxl.job.core.thread.JobThread#run]-[179]-[xxl-job, JobThread-3-1655264775822] <br>----------- xxl-job job execute end(finish) -----------<br>----------- Result: handleCode=200, handleMsg = null
2022-06-15 11:46:15 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[xxl-job, executor TriggerCallbackThread] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:46:29 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:46:56 [com.xxl.job.core.thread.JobThread#run]-[194]-[xxl-job, JobThread-3-1655264775822] <br>----------- JobThread toStop, stopReason:web container destroy and kill the job.
2022-06-15 11:46:56 [com.xxl.job.core.thread.JobThread#run]-[204]-[xxl-job, JobThread-3-1655264775822] <br>----------- JobThread Exception:java.lang.InterruptedException
	at java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.reportInterruptAfterWait(AbstractQueuedSynchronizer.java:2014)
	at java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.awaitNanos(AbstractQueuedSynchronizer.java:2088)
	at java.util.concurrent.LinkedBlockingQueue.poll(LinkedBlockingQueue.java:467)
	at com.xxl.job.core.thread.JobThread.run(JobThread.java:114)
<br>----------- xxl-job job execute end(error) -----------
2022-06-15 11:47:01 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:47:31 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:48:01 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:48:31 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:49:01 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:49:31 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:50:01 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:50:31 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:51:01 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:51:31 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:52:01 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:52:31 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:53:01 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:53:32 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:54:02 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:54:32 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:55:02 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:55:32 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:55:41 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-16] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:56:11 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-16] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:56:33 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:57:03 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-15] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:57:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:57:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:58:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:58:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:59:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 11:59:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:00:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:00:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:01:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:01:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:02:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:02:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:03:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:03:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:04:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:04:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:05:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:05:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:06:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:06:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:07:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:07:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:08:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:08:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:09:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:09:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:10:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:10:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:11:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:11:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:12:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:12:47 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
2022-06-15 12:13:17 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-14] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=The access token is wrong., content=null]
